Handle,Title,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,SKU,HS Code,COO,Leluaitta Varastomyymälä,Tinks Juhlakauppa,Wolt
clem-teething-rattles,CLEM. TEETHING RATTLES,Title,Default Title,,,,,44017800,,,not stocked,9,not stocked
cocktailtikut-kultaiset-20-kpl-pakkaus,"Cocktailtikut, Kultaiset 20 kpl pakkaus",Title,Default Title,,,,,70649,,,not stocked,4,not stocked
cocktailtikut-hopeiset-20-kpl-pakkaus,"Cocktailtikut, Hopeiset 20 kpl pakkaus",Title,Default Title,,,,,70650,,,not stocked,6,not stocked
glow-stick-paksu-ripustuskoukulla,Glow Stick Paksu ripustuskoukulla,Title,Default Title,,,,,92135,,,not stocked,24,not stocked
valotikut-50-kpl-pakkaus,Valotikut 50 kpl pakkaus,Title,Default Title,,,,,95969,,,not stocked,38,not stocked
minecraft-muki-keraaminen,Minecraft muki keraaminen,Title,Default Title,,,,,80996,,,not stocked,3,not stocked
avengers-muki-keramiikkaa,"Avengers muki, keramiikkaa",Title,Default Title,,,,,80945,,,not stocked,4,not stocked
marvel-retro-muki-keramiikkaa,"Marvel Retro muki, keramiikkaa",Title,Default Title,,,,,80710,,,not stocked,4,not stocked
yksisarvinen-muki-keramiikkaa,"Yksisarvinen muki, keramiikkaa",Title,Default Title,,,,,81233,,,not stocked,3,not stocked
tahtikuvioiset-ilmapallot-6-kpl,Tähtikuvioiset ilmapallot 6 kpl,Title,Default Title,,,,,64688,,,not stocked,6,not stocked
ilmapallot-baby-shower-6-kpl,"Ilmapallot, Baby Shower 6 kpl",Title,Default Title,,,,,64669,,,not stocked,6,not stocked
ilmapallot-team-bride-6-kpl,"Ilmapallot, Team Bride 6 kpl",Title,Default Title,,,,,64404,,,not stocked,6,not stocked
ilmapallot-tyttovauva-8-kpl,"Ilmapallot, tyttövauva 8 kpl",Title,Default Title,,,,,64507,,,not stocked,6,not stocked
ilmapallot-poikavauva-8-kpl,"Ilmapallot, poikavauva 8 kpl",Title,Default Title,,,,,64506,,,not stocked,5,not stocked
photoshoot-oviverho-sininen-92-x-240-cm,"Photoshoot oviverho, sininen 92 x 240 cm",Title,Default Title,,,,,70610,,,not stocked,5,not stocked
sonic-ilmapallot-8-kpl,"Sonic Ilmapallot, 8 kpl",Title,Default Title,,,,,71771,,,not stocked,6,not stocked
siirtotatuointi-gabbys-dollhouse-12-kpl,Siirtotatuointi Gabbys Dollhouse 12 kpl,Title,Default Title,,,,,97417,,,not stocked,8,not stocked
pusheen-muki-330-ml,Pusheen Kissa muki 330 ml,Title,Default Title,,,,,84355,,,not stocked,27,not stocked
